country,date,price,year,quarter
South Korea,1987-09-30,114.37,1987,3
New Zealand,1987-09-30,46.95,1987,3
Sweden,1987-09-30,43.27,1987,3
United States,1987-09-30,88.48,1987,3
South Africa,1987-09-30,55.36,1987,3
Canada,1987-12-31,55.96,1987,4
Switzerland,1987-12-31,102.86,1987,4
United Kingdom,1987-12-31,46.12,1987,4
South Korea,1987-12-31,118.79,1987,4
New Zealand,1987-12-31,48.11,1987,4
Sweden,1987-12-31,44.27,1987,4
United States,1987-12-31,89.48,1987,4
South Africa,1987-12-31,56.05,1987,4
Canada,1988-03-31,60.62,1988,1
Switzerland,1988-03-31,105.97,1988,1
Colombia,1988-03-31,96.8,1988,1
United Kingdom,1988-03-31,47.87,1988,1
South Korea,1988-03-31,120.67,1988,1
New Zealand,1988-03-31,48.63,1988,1
Sweden,1988-03-31,45.95,1988,1
United States,1988-03-31,90.42,1988,1
South Africa,1988-03-31,56.71,1988,1
Canada,1988-06-30,61.12,1988,2
Switzerland,1988-06-30,108.63,1988,2
Colombia,1988-06-30,86.32,1988,2
United Kingdom,1988-06-30,49.77,1988,2
South Korea,1988-06-30,124.88,1988,2
New Zealand,1988-06-30,49.64,1988,2
Sweden,1988-06-30,47.04,1988,2
United States,1988-06-30,91.48,1988,2
South Africa,1988-06-30,56.21,1988,2
Canada,1988-09-30,61.07,1988,3
Switzerland,1988-09-30,113.0,1988,3
Colombia,1988-09-30,99.09,1988,3
United Kingdom,1988-09-30,55.87,1988,3
South Korea,1988-09-30,127.65,1988,3
New Zealand,1988-09-30,49.53,1988,3
Sweden,1988-09-30,49.32,1988,3
United States,1988-09-30,92.83,1988,3
South Africa,1988-09-30,56.6,1988,3
Canada,1988-12-31,65.52,1988,4
Switzerland,1988-12-31,117.43,1988,4
Colombia,1988-12-31,94.81,1988,4
United Kingdom,1988-12-31,58.67,1988,4
South Korea,1988-12-31,126.63,1988,4
New Zealand,1988-12-31,49.24,1988,4
Sweden,1988-12-31,49.8,1988,4
United States,1988-12-31,94.17,1988,4
South Africa,1988-12-31,56.66,1988,4
Canada,1989-03-31,71.22,1989,1
Switzerland,1989-03-31,119.33,1989,1
Colombia,1989-03-31,100.29,1989,1
United Kingdom,1989-03-31,59.45,1989,1
South Korea,1989-03-31,129.94,1989,1
New Zealand,1989-03-31,49.95,1989,1
Sweden,1989-03-31,51.9,1989,1
United States,1989-03-31,95.14,1989,1
South Africa,1989-03-31,56.43,1989,1
Canada,1989-06-30,63.97,1989,2
Switzerland,1989-06-30,119.54,1989,2
Colombia,1989-06-30,100.51,1989,2
United Kingdom,1989-06-30,60.19,1989,2
South Korea,1989-06-30,137.44,1989,2
New Zealand,1989-06-30,49.81,1989,2
Sweden,1989-06-30,53.36,1989,2
United States,1989-06-30,94.91,1989,2
South Africa,1989-06-30,56.67,1989,2
Canada,1989-09-30,64.55,1989,3
Switzerland,1989-09-30,120.84,1989,3
Colombia,1989-09-30,99.04,1989,3
United Kingdom,1989-09-30,61.83,1989,3
South Korea,1989-09-30,136.09,1989,3
New Zealand,1989-09-30,49.04,1989,3
Sweden,1989-09-30,54.92,1989,3
United States,1989-09-30,95.41,1989,3
South Africa,1989-09-30,56.76,1989,3
Canada,1989-12-31,67.77,1989,4
Switzerland,1989-12-31,121.37,1989,4
Colombia,1989-12-31,100.02,1989,4
United Kingdom,1989-12-31,59.64,1989,4
South Korea,1989-12-31,136.17,1989,4
New Zealand,1989-12-31,49.29,1989,4
Sweden,1989-12-31,54.26,1989,4
United States,1989-12-31,95.79,1989,4
South Africa,1989-12-31,56.27,1989,4
Canada,1990-03-31,65.6,1990,1
Switzerland,1990-03-31,119.56,1990,1
Colombia,1990-03-31,102.43,1990,1
United Kingdom,1990-03-31,57.74,1990,1
Italy,1990-03-31,68.85,1990,1
South Korea,1990-03-31,139.38,1990,1
New Zealand,1990-03-31,49.89,1990,1
Sweden,1990-03-31,55.05,1990,1
United States,1990-03-31,95.14,1990,1
South Africa,1990-03-31,56.62,1990,1
Canada,1990-06-30,60.64,1990,2
Switzerland,1990-06-30,118.5,1990,2
Colombia,1990-06-30,95.1,1990,2
United Kingdom,1990-06-30,55.49,1990,2
Italy,1990-06-30,70.77,1990,2
South Korea,1990-06-30,145.23,1990,2
New Zealand,1990-06-30,49.53,1990,2
Sweden,1990-06-30,54.7,1990,2
United States,1990-06-30,94.34,1990,2
South Africa,1990-06-30,57.43,1990,2
Canada,1990-09-30,60.37,1990,3
Switzerland,1990-09-30,116.14,1990,3
Colombia,1990-09-30,98.78,1990,3
United Kingdom,1990-09-30,55.66,1990,3
Italy,1990-09-30,71.92,1990,3
South Korea,1990-09-30,146.36,1990,3
New Zealand,1990-09-30,49.14,1990,3
Sweden,1990-09-30,54.71,1990,3
United States,1990-09-30,92.39,1990,3
South Africa,1990-09-30,56.96,1990,3
Canada,1990-12-31,59.96,1990,4
Switzerland,1990-12-31,111.79,1990,4
Colombia,1990-12-31,96.69,1990,4
United Kingdom,1990-12-31,53.81,1990,4
Italy,1990-12-31,73.59,1990,4
South Korea,1990-12-31,151.09,1990,4
New Zealand,1990-12-31,48.33,1990,4
Sweden,1990-12-31,52.95,1990,4
United States,1990-12-31,90.42,1990,4
South Africa,1990-12-31,55.87,1990,4
Canada,1991-03-31,61.1,1991,1
Switzerland,1991-03-31,109.33,1991,1
Colombia,1991-03-31,90.41,1991,1
United Kingdom,1991-03-31,52.85,1991,1
Italy,1991-03-31,76.14,1991,1
South Korea,1991-03-31,149.25,1991,1
New Zealand,1991-03-31,47.18,1991,1
Sweden,1991-03-31,54.18,1991,1
United States,1991-03-31,89.22,1991,1
South Africa,1991-03-31,55.74,1991,1
Canada,1991-06-30,62.81,1991,2
Switzerland,1991-06-30,108.7,1991,2
Colombia,1991-06-30,93.0,1991,2
United Kingdom,1991-06-30,50.39,1991,2
Italy,1991-06-30,77.83,1991,2
South Korea,1991-06-30,151.28,1991,2
New Zealand,1991-06-30,46.65,1991,2
Sweden,1991-06-30,53.02,1991,2
United States,1991-06-30,88.94,1991,2
South Africa,1991-06-30,55.98,1991,2
Canada,1991-09-30,58.92,1991,3
Switzerland,1991-09-30,110.13,1991,3
Colombia,1991-09-30,89.02,1991,3
United Kingdom,1991-09-30,51.01,1991,3
Italy,1991-09-30,78.07,1991,3
South Korea,1991-09-30,146.74,1991,3
New Zealand,1991-09-30,46.88,1991,3
Sweden,1991-09-30,53.14,1991,3
United States,1991-09-30,88.17,1991,3
South Africa,1991-09-30,56.1,1991,3
Canada,1991-12-31,59.72,1991,4
Switzerland,1991-12-31,106.23,1991,4
Colombia,1991-12-31,91.45,1991,4
United Kingdom,1991-12-31,49.93,1991,4
Italy,1991-12-31,78.85,1991,4
South Korea,1991-12-31,140.76,1991,4
New Zealand,1991-12-31,46.67,1991,4
Sweden,1991-12-31,51.97,1991,4
United States,1991-12-31,87.26,1991,4
South Africa,1991-12-31,55.27,1991,4
Canada,1992-03-31,60.47,1992,1
Switzerland,1992-03-31,103.58,1992,1
Colombia,1992-03-31,87.97,1992,1
United Kingdom,1992-03-31,48.95,1992,1
Italy,1992-03-31,82.62,1992,1
South Korea,1992-03-31,134.96,1992,1
Norway,1992-03-31,36.11,1992,1
New Zealand,1992-03-31,46.24,1992,1
Sweden,1992-03-31,49.53,1992,1
United States,1992-03-31,86.83,1992,1
South Africa,1992-03-31,53.8,1992,1
Canada,1992-06-30,60.63,1992,2
Switzerland,1992-06-30,101.37,1992,2
