country,date,price,year,quarter
New Zealand,1989-03-31,29.56,1989,1
Sweden,1989-03-31,31.56,1989,1
United States,1989-03-31,53.08,1989,1
South Africa,1989-03-31,11.13,1989,1
Canada,1989-06-30,40.88,1989,2
Switzerland,1989-06-30,85.55,1989,2
Colombia,1989-06-30,7.19,1989,2
United Kingdom,1989-06-30,35.04,1989,2
South Korea,1989-06-30,56.14,1989,2
New Zealand,1989-06-30,29.83,1989,2
Sweden,1989-06-30,33.02,1989,2
United States,1989-06-30,53.83,1989,2
South Africa,1989-06-30,11.65,1989,2
Canada,1989-09-30,41.84,1989,3
Switzerland,1989-09-30,86.73,1989,3
Colombia,1989-09-30,7.4,1989,3
United Kingdom,1989-09-30,36.25,1989,3
South Korea,1989-09-30,56.28,1989,3
New Zealand,1989-09-30,30.4,1989,3
Sweden,1989-09-30,34.31,1989,3
United States,1989-09-30,54.55,1989,3
South Africa,1989-09-30,12.07,1989,3
Canada,1989-12-31,44.24,1989,4
Switzerland,1989-12-31,88.7,1989,4
Colombia,1989-12-31,7.83,1989,4
United Kingdom,1989-12-31,35.52,1989,4
South Korea,1989-12-31,56.98,1989,4
New Zealand,1989-12-31,30.94,1989,4
Sweden,1989-12-31,34.49,1989,4
United States,1989-12-31,55.29,1989,4
South Africa,1989-12-31,12.33,1989,4
Canada,1990-03-31,43.45,1990,1
Switzerland,1990-03-31,88.95,1990,1
Colombia,1990-03-31,8.7,1990,1
United Kingdom,1990-03-31,34.8,1990,1
Italy,1990-03-31,37.65,1990,1
South Korea,1990-03-31,60.13,1990,1
New Zealand,1990-03-31,31.6,1990,1
Sweden,1990-03-31,36.51,1990,1
United States,1990-03-31,55.86,1990,1
South Africa,1990-03-31,12.86,1990,1
Canada,1990-06-30,40.54,1990,2
Switzerland,1990-06-30,88.97,1990,2
Colombia,1990-06-30,8.73,1990,2
United Kingdom,1990-06-30,34.5,1990,2
Italy,1990-06-30,39.19,1990,2
South Korea,1990-06-30,64.51,1990,2
New Zealand,1990-06-30,31.93,1990,2
Sweden,1990-06-30,37.24,1990,2
United States,1990-06-30,55.96,1990,2
South Africa,1990-06-30,13.45,1990,2
Canada,1990-09-30,40.76,1990,3
Switzerland,1990-09-30,88.22,1990,3
Colombia,1990-09-30,9.54,1990,3
United Kingdom,1990-09-30,35.1,1990,3
Italy,1990-09-30,40.37,1990,3
South Korea,1990-09-30,65.97,1990,3
New Zealand,1990-09-30,31.99,1990,3
Sweden,1990-09-30,37.98,1990,3
United States,1990-09-30,55.75,1990,3
South Africa,1990-09-30,13.77,1990,3
Canada,1990-12-31,41.08,1990,4
Switzerland,1990-12-31,86.51,1990,4
Colombia,1990-12-31,9.94,1990,4
United Kingdom,1990-12-31,34.56,1990,4
Italy,1990-12-31,42.08,1990,4
South Korea,1990-12-31,68.84,1990,4
New Zealand,1990-12-31,31.8,1990,4
Sweden,1990-12-31,37.43,1990,4
United States,1990-12-31,55.44,1990,4
South Africa,1990-12-31,14.04,1990,4
Canada,1991-03-31,43.07,1991,1
Switzerland,1991-03-31,86.11,1991,1
Colombia,1991-03-31,10.1,1991,1
United Kingdom,1991-03-31,34.07,1991,1
Italy,1991-03-31,44.29,1991,1
South Korea,1991-03-31,70.66,1991,1
New Zealand,1991-03-31,31.24,1991,1
Sweden,1991-03-31,40.0,1991,1
United States,1991-03-31,55.15,1991,1
South Africa,1991-03-31,14.48,1991,1
Canada,1991-06-30,44.6,1991,2
Switzerland,1991-06-30,86.72,1991,2
Colombia,1991-06-30,11.2,1991,2
United Kingdom,1991-06-30,33.95,1991,2
Italy,1991-06-30,45.92,1991,2
South Korea,1991-06-30,73.15,1991,2
New Zealand,1991-06-30,30.92,1991,2
Sweden,1991-06-30,39.81,1991,2
United States,1991-06-30,55.31,1991,2
South Africa,1991-06-30,15.09,1991,2
Canada,1991-09-30,42.09,1991,3
Switzerland,1991-09-30,88.74,1991,3
Colombia,1991-09-30,11.26,1991,3
United Kingdom,1991-09-30,34.62,1991,3
Italy,1991-09-30,46.6,1991,3
South Korea,1991-09-30,72.31,1991,3
New Zealand,1991-09-30,31.18,1991,3
Sweden,1991-09-30,40.0,1991,3
United States,1991-09-30,55.26,1991,3
South Africa,1991-09-30,15.67,1991,3
Canada,1991-12-31,42.6,1991,4
Switzerland,1991-12-31,86.54,1991,4
Colombia,1991-12-31,12.04,1991,4
United Kingdom,1991-12-31,34.32,1991,4
Italy,1991-12-31,47.73,1991,4
South Korea,1991-12-31,70.18,1991,4
New Zealand,1991-12-31,31.01,1991,4
Sweden,1991-12-31,39.63,1991,4
United States,1991-12-31,55.11,1991,4
South Africa,1991-12-31,16.13,1991,4
Canada,1992-03-31,43.3,1992,1
Switzerland,1992-03-31,85.47,1992,1
Colombia,1992-03-31,12.51,1992,1
United Kingdom,1992-03-31,33.77,1992,1
Italy,1992-03-31,50.8,1992,1
South Korea,1992-03-31,68.47,1992,1
Norway,1992-03-31,24.58,1992,1
New Zealand,1992-03-31,30.86,1992,1
Sweden,1992-03-31,37.79,1992,1
United States,1992-03-31,55.22,1992,1
South Africa,1992-03-31,16.2,1992,1
Canada,1992-06-30,43.64,1992,2
Switzerland,1992-06-30,84.4,1992,2
Colombia,1992-06-30,13.22,1992,2
United Kingdom,1992-06-30,32.93,1992,2
Italy,1992-06-30,52.88,1992,2
South Korea,1992-06-30,67.15,1992,2
Norway,1992-06-30,24.71,1992,2
New Zealand,1992-06-30,31.31,1992,2
Sweden,1992-06-30,37.06,1992,2
United States,1992-06-30,55.12,1992,2
South Africa,1992-06-30,15.91,1992,2
Canada,1992-09-30,43.74,1992,3
Switzerland,1992-09-30,82.16,1992,3
Colombia,1992-09-30,13.53,1992,3
United Kingdom,1992-09-30,33.05,1992,3
Italy,1992-09-30,53.91,1992,3
South Korea,1992-09-30,66.1,1992,3
Norway,1992-09-30,24.84,1992,3
New Zealand,1992-09-30,31.51,1992,3
Sweden,1992-09-30,35.96,1992,3
United States,1992-09-30,55.04,1992,3
South Africa,1992-09-30,15.79,1992,3
Canada,1992-12-31,44.69,1992,4
Switzerland,1992-12-31,81.17,1992,4
Colombia,1992-12-31,13.94,1992,4
United Kingdom,1992-12-31,31.78,1992,4
Italy,1992-12-31,54.5,1992,4
South Korea,1992-12-31,65.93,1992,4
Norway,1992-12-31,24.19,1992,4
New Zealand,1992-12-31,31.55,1992,4
Sweden,1992-12-31,33.57,1992,4
United States,1992-12-31,55.21,1992,4
South Africa,1992-12-31,16.18,1992,4
Canada,1993-03-31,45.07,1993,1
Switzerland,1993-03-31,80.04,1993,1
Colombia,1993-03-31,14.69,1993,1
United Kingdom,1993-03-31,31.96,1993,1
Italy,1993-03-31,55.1,1993,1
South Korea,1993-03-31,65.54,1993,1
Norway,1993-03-31,23.28,1993,1
New Zealand,1993-03-31,31.88,1993,1
Sweden,1993-03-31,32.11,1993,1
United States,1993-03-31,55.37,1993,1
South Africa,1993-03-31,16.44,1993,1
Canada,1993-06-30,45.07,1993,2
Switzerland,1993-06-30,80.27,1993,2
Colombia,1993-06-30,15.94,1993,2
United Kingdom,1993-06-30,32.2,1993,2
Italy,1993-06-30,55.55,1993,2
South Korea,1993-06-30,64.99,1993,2
Norway,1993-06-30,24.45,1993,2
New Zealand,1993-06-30,32.18,1993,2
Sweden,1993-06-30,32.11,1993,2
United States,1993-06-30,55.61,1993,2
South Africa,1993-06-30,16.58,1993,2
Canada,1993-09-30,44.08,1993,3
Switzerland,1993-09-30,78.55,1993,3
Colombia,1993-09-30,17.16,1993,3
United Kingdom,1993-09-30,32.87,1993,3
Italy,1993-09-30,56.09,1993,3
South Korea,1993-09-30,64.13,1993,3
Norway,1993-09-30,25.37,1993,3
New Zealand,1993-09-30,32.79,1993,3
Sweden,1993-09-30,31.92,1993,3
United States,1993-09-30,56.04,1993,3
South Africa,1993-09-30,16.95,1993,3
Canada,1993-12-31,44.62,1993,4
Switzerland,1993-12-31,78.68,1993,4
Colombia,1993-12-31,18.16,1993,4
United Kingdom,1993-12-31,32.26,1993,4
Italy,1993-12-31,55.48,1993,4
South Korea,1993-12-31,63.75,1993,4
Norway,1993-12-31,26.15,1993,4
New Zealand,1993-12-31,33.54,1993,4
Sweden,1993-12-31,32.29,1993,4
United States,1993-12-31,56.52,1993,4
South Africa,1993-12-31,17.3,1993,4
Canada,1994-03-31,46.63,1994,1
Switzerland,1994-03-31,79.95,1994,1
Colombia,1994-03-31,20.02,1994,1
United Kingdom,1994-03-31,32.62,1994,1
Israel,1994-03-31,45.61,1994,1
Italy,1994-03-31,55.08,1994,1
South Korea,1994-03-31,63.65,1994,1
Norway,1994-03-31,26.94,1994,1
New Zealand,1994-03-31,35.43,1994,1
Sweden,1994-03-31,32.84,1994,1
United States,1994-03-31,56.76,1994,1
